dataset_key,model,horizon_type,experiment_type,status,count
nn5_weekly,naive,long,tuned,success,111
nn5_weekly,naive,short,baseline,success,111
nn5_weekly,naive,short,tuned,success,111
nn5_weekly,prophet,long,baseline,success,111
nn5_weekly,prophet,long,tuned,success,111
nn5_weekly,prophet,short,baseline,success,111
nn5_weekly,prophet,short,tuned,success,111
nn5_weekly,seasonal_naive,long,baseline,success,111
nn5_weekly,seasonal_naive,long,tuned,success,111
nn5_weekly,seasonal_naive,short,baseline,success,111
nn5_weekly,seasonal_naive,short,tuned,success,111
nn5_weekly,timesfm,long,baseline,success,111
nn5_weekly,timesfm,long,tuned,success,111
nn5_weekly,timesfm,short,baseline,success,111
nn5_weekly,timesfm,short,tuned,success,111
nn5_weekly,ttm,long,baseline,success,111
nn5_weekly,ttm,long,tuned,success,111
nn5_weekly,ttm,short,baseline,success,111
nn5_weekly,ttm,short,tuned,success,111
nn5_weekly,uni2ts,long,baseline,success,111
nn5_weekly,uni2ts,long,tuned,success,111
nn5_weekly,uni2ts,short,baseline,success,111
nn5_weekly,uni2ts,short,tuned,success,111
saugeenday,arima,long,baseline,success,1
saugeenday,arima,long,tuned,success,1
saugeenday,arima,short,baseline,success,1
saugeenday,arima,short,tuned,success,1
saugeenday,lstm,long,baseline,success,1
saugeenday,lstm,long,tuned,success,1
saugeenday,lstm,short,baseline,success,1
saugeenday,lstm,short,tuned,success,1
saugeenday,naive,long,baseline,success,1
saugeenday,naive,long,tuned,success,1
saugeenday,naive,short,baseline,success,1
saugeenday,naive,short,tuned,success,1
saugeenday,prophet,long,baseline,success,1
saugeenday,prophet,long,tuned,success,1
saugeenday,prophet,short,baseline,success,1
saugeenday,prophet,short,tuned,success,1
saugeenday,seasonal_naive,long,baseline,success,1
saugeenday,seasonal_naive,long,tuned,success,1
saugeenday,seasonal_naive,short,baseline,success,1
saugeenday,seasonal_naive,short,tuned,success,1
saugeenday,timesfm,long,baseline,success,1
saugeenday,timesfm,long,tuned,success,1
saugeenday,timesfm,short,baseline,success,1
saugeenday,timesfm,short,tuned,success,1
saugeenday,ttm,long,baseline,success,1
saugeenday,ttm,long,tuned,success,1
saugeenday,ttm,short,baseline,success,1
saugeenday,ttm,short,tuned,success,1
saugeenday,uni2ts,long,baseline,success,1
saugeenday,uni2ts,long,tuned,success,1
saugeenday,uni2ts,short,baseline,success,1
saugeenday,uni2ts,short,tuned,success,1
solar_weekly,arima,long,baseline,success,137
solar_weekly,arima,long,tuned,success,137
solar_weekly,arima,short,baseline,success,137
solar_weekly,arima,short,tuned,success,137
solar_weekly,lstm,long,baseline,success,137
solar_weekly,lstm,long,tuned,success,137
solar_weekly,lstm,short,baseline,success,137
solar_weekly,lstm,short,tuned,success,137
solar_weekly,naive,long,baseline,success,137
solar_weekly,naive,long,tuned,success,137
solar_weekly,naive,short,baseline,success,137
solar_weekly,naive,short,tuned,success,137
solar_weekly,prophet,long,baseline,success,137
solar_weekly,prophet,long,tuned,success,137
solar_weekly,prophet,short,baseline,success,137
solar_weekly,prophet,short,tuned,success,137
solar_weekly,seasonal_naive,long,baseline,success,137
solar_weekly,seasonal_naive,long,tuned,success,137
solar_weekly,seasonal_naive,short,baseline,success,137
solar_weekly,seasonal_naive,short,tuned,success,137
solar_weekly,timesfm,long,baseline,success,137
solar_weekly,timesfm,long,tuned,success,137
solar_weekly,timesfm,short,baseline,success,137
solar_weekly,timesfm,short,tuned,success,137
solar_weekly,ttm,long,baseline,failed,137
solar_weekly,ttm,long,tuned,failed,137
solar_weekly,ttm,short,baseline,failed,137
solar_weekly,ttm,short,tuned,failed,137
solar_weekly,uni2ts,long,baseline,success,137
solar_weekly,uni2ts,long,tuned,success,137
solar_weekly,uni2ts,short,baseline,success,137
solar_weekly,uni2ts,short,tuned,success,137
