dataset_key,domain,frequency,model,model_family,horizon_type,horizon,experiment_type,n_series,mae,rmse,smape,avg_fit_time_seconds,avg_inference_time_seconds,avg_series_total_time_seconds,avg_peak_memory_mb
electricity_weekly,energy,weekly,naive,traditional,long,8,baseline,321,72228.9836448598,75198.82190279373,14.139393159590835,7.137702632915937e-07,1.15770417210469e-05,1.4856968341958115e-05,0.3984432220458984
electricity_weekly,energy,weekly,prophet,traditional,long,8,baseline,321,85581.60528664624,88726.21200767245,17.84883461129906,1.4106803965345722e-05,0.15493563773847438,0.15495360528939978,6.737576484680176
electricity_weekly,energy,weekly,ttm,foundation,long,8,baseline,321,89644.30166102307,92599.94101387265,17.926161466953204,8.456060819536498e-06,1.287611602622772,1.2876242967409508,2.90604305267334
electricity_weekly,energy,weekly,uni2ts,foundation,long,8,baseline,321,171016.82248732902,174277.09860693756,23.329547308998464,2.0870909883968555e-06,1.202040417543453,1.202050083522856,3.889340400695801
electricity_weekly,energy,weekly,lstm,traditional,long,8,baseline,321,364915.21786936716,365558.1588269511,199.9927412238992,1.2396280639268156e-06,0.33182204920926195,0.3318277051515668,0.8011980056762695
electricity_weekly,energy,weekly,timesfm,foundation,short,4,baseline,321,17319.724983857057,20205.26506670756,7.202438136731999,1.3947115508938132e-05,0.294125928314304,0.2941448955892402,12.566020011901855
electricity_weekly,energy,weekly,arima,traditional,short,4,baseline,321,20611.85722937525,23983.438734861014,8.330778337201291,6.461811956958236e-07,0.022917334535782905,0.022920753354224045,4.56882381439209
electricity_weekly,energy,weekly,naive,traditional,short,4,baseline,321,20644.94158878505,24001.709890869766,8.373331738598177,3.3126070491992794e-07,5.452432365060967e-06,7.812107834860544e-06,0.4024381637573242
electricity_weekly,energy,weekly,seasonal_naive,traditional,short,4,baseline,321,30168.56464174455,32591.56824445784,10.6790430313408,3.40916286005038e-07,1.9478277996693074e-05,2.1834239781459914e-05,0.4123268127441406
electricity_weekly,energy,weekly,uni2ts,foundation,short,4,baseline,321,78770.3289398434,81382.09515429859,16.340621021741708,1.2990470244505695e-06,1.165854067817284,1.1658603268620382,3.932229995727539
electricity_weekly,energy,weekly,prophet,traditional,short,4,baseline,321,86880.12073447708,88851.36773593728,18.29410091941592,8.871250806196456e-06,0.12618760082209218,0.12619905605494414,7.803033828735352
electricity_weekly,energy,weekly,ttm,foundation,short,4,baseline,321,120109.20054969036,121917.31513586473,21.77029990526197,9.715000045633762e-07,1.2523703166628923,1.2523745502638297,2.957010269165039
electricity_weekly,energy,weekly,lstm,traditional,short,4,baseline,321,356249.71302479325,356588.5030854583,199.99243652066252,8.927698818694023e-07,0.2669649762899333,0.2669691259615889,0.6891260147094727
fred_md,finance,monthly,ttm,foundation,long,24,baseline,107,4281.675827473107,4936.726206804728,12.239916084088508,2.517878452194071e-06,0.14092971676977992,0.14093714785353043,1.1940793991088867
fred_md,finance,monthly,timesfm,foundation,long,24,baseline,107,5015.486956671957,5732.563642994308,13.074179009045283,2.7903886598961375e-05,0.34747670966888144,0.34750899867476703,0.2194967269897461
fred_md,finance,monthly,arima,traditional,long,24,baseline,107,5859.820000461047,6641.992951479356,14.51231103322387,3.054877307927497e-06,0.10512177743644353,0.10513142336194756,5.393567085266113
fred_md,finance,monthly,naive,traditional,long,24,baseline,107,5365.955688551401,6207.925540138058,14.53599068465128,1.4260550525700934e-06,1.4951295941789574e-05,1.9035606740791107e-05,0.1473731994628906
fred_md,finance,monthly,seasonal_naive,traditional,long,24,baseline,107,4839.166405996885,5588.497740491411,16.507915593491973,1.3191009236273364e-06,8.3974588697196e-05,8.793634789011101e-05,0.15679550170898426
fred_md,finance,monthly,uni2ts,foundation,long,24,baseline,107,9644.779488981594,10525.230882367321,21.46679775764322,7.061200721241399e-06,1.2295069872775926,1.2295204100207748,1.8168067932128904
fred_md,finance,monthly,prophet,traditional,long,24,baseline,107,14099.147765389347,14817.77910102542,30.045277281042907,5.141374106718963e-05,0.4550522666111171,0.4551101867283616,24.052764892578125
fred_md,finance,monthly,lstm,traditional,long,24,baseline,107,46124.43893411052,46315.262759842866,147.58119495475142,2.4777706538405374e-06,1.929060826791781,1.9290683559168165,0.5880498886108398
fred_md,finance,monthly,timesfm,foundation,short,12,baseline,107,2769.7418172102166,3203.20969402028,10.291124352155611,4.9604433719242394e-05,0.464267207083301,0.46432306387714134,12.22354793548584
fred_md,finance,monthly,arima,traditional,short,12,baseline,107,2633.2657980047893,2975.5618067705313,10.498671610483532,3.4047064380110983e-06,0.11432292528241589,0.11433336222283189,6.984503746032715
fred_md,finance,monthly,ttm,foundation,short,12,baseline,107,2473.2872593454076,2702.658580031101,10.609710192317964,2.7941766186295267e-06,0.15858702793299592,0.1585957268688166,1.237462043762207
fred_md,finance,monthly,naive,traditional,short,12,baseline,107,2825.672457087227,3128.761592673436,10.702966975668648,1.655560787593093e-06,1.7642974853515625e-05,2.3278120522187136e-05,0.1473951339721679
fred_md,finance,monthly,seasonal_naive,traditional,short,12,baseline,107,5385.529177570093,5578.140102682451,14.58971088071152,1.4862167501003942e-06,6.240996244911836e-05,6.701790283773459e-05,0.1520843505859375
fred_md,finance,monthly,uni2ts,foundation,short,12,baseline,107,8071.12820036876,8295.147878633508,16.65518468330838,4.2803933687299215e-06,1.3219412977450362,1.3219520956556374,2.3782196044921875
fred_md,finance,monthly,prophet,traditional,short,12,baseline,107,14645.740585999074,14810.925065839116,30.465051794704994,3.2984207723742336e-05,0.42346049469208047,0.4234990338298762,25.339592933654785
fred_md,finance,monthly,lstm,traditional,short,12,baseline,107,44053.113830909475,44095.35203747637,143.45068406042213,3.689917448525117e-06,2.465200210286078,2.465210067891629,0.5792121887207031
m1_monthly,finance,monthly,timesfm,foundation,long,18,baseline,589,1958.0277372313171,2297.191326297124,13.982878150007435,1.3928664358038547e-05,0.3885181350902305,0.3885374316132939,1.0835647583007812
m1_monthly,finance,monthly,seasonal_naive,traditional,long,18,baseline,617,2011.95497208716,2458.1691306396733,17.309377129608347,5.958532398291886e-07,6.010969029060214e-05,6.338224611946954e-05,0.8035049438476562
m1_monthly,finance,monthly,arima,traditional,long,18,baseline,617,2810.7113586184314,3269.61209003866,18.612108727678347,1.4672209803057257e-06,0.04493454403003954,0.044941396728713424,5.581734657287598
m1_monthly,finance,monthly,naive,traditional,long,18,baseline,617,2707.7539510174684,3172.4506367581175,19.212449801202105,6.348812406221511e-07,1.2938361886641195e-05,1.6015004879844828e-05,0.7547092437744141
m1_monthly,finance,monthly,prophet,traditional,long,18,baseline,617,2711.9066699641967,3178.496554328781,21.826659007123894,1.6107744683709293e-05,0.28616860658654897,0.28619169261505767,6.955365180969238
m1_monthly,finance,monthly,ttm,foundation,long,18,baseline,171,3698.5380061432033,4086.4780190312113,23.762685319092725,1.0777635183947825e-06,0.7908784088335539,0.7908838032281886,51.63799476623535
m1_monthly,finance,monthly,uni2ts,foundation,long,18,baseline,617,3904.09608967701,7950.493726538588,27.12182127520923,1.2280295695052928e-06,0.9892340687917156,0.9892399844319546,6.582223892211914
m1_monthly,finance,monthly,lstm,traditional,long,18,baseline,617,9035.40570289566,9354.620949405054,158.8733675391742,1.4285793953621986e-06,0.15101187117095896,0.1510191048756604,1.3808917999267578
m1_monthly,finance,monthly,timesfm,foundation,short,9,baseline,617,1305.9606560690518,1602.496925481034,11.438034879872731,1.7159955041721145e-05,0.39430576128163636,0.39432859111643687,12.939711570739746
m1_monthly,finance,monthly,seasonal_naive,traditional,short,9,baseline,617,2015.399083378354,2352.8873355324604,15.603230562634714,6.522699538467382e-07,3.3086470692045576e-05,3.625083008307092e-05,0.7794990539550781
m1_monthly,finance,monthly,arima,traditional,short,9,baseline,617,2119.25039528633,2537.10914137963,16.94072674348861,1.3397037499920863e-06,0.043912024320234506,0.043918664490191196,6.076915740966797
m1_monthly,finance,monthly,naive,traditional,short,9,baseline,617,2127.174885647398,2540.6198029354114,17.09381582143664,6.325627455255394e-07,1.1598658136649108e-05,1.4715874794043443e-05,0.7594671249389648
m1_monthly,finance,monthly,prophet,traditional,short,9,baseline,617,2391.524724430031,2855.889002968368,20.20114280679496,1.53519152822139e-05,0.33337121651276963,0.33339217493561135,7.978738784790039
m1_monthly,finance,monthly,uni2ts,foundation,short,9,baseline,617,2862.6448567764924,3266.7148690479466,20.9787577082478,1.8323839580220574e-06,1.2110065239175212,1.211014721343351,6.18067741394043
