dataset_key,domain,frequency,model,model_family,horizon_type,horizon,experiment_type,n_series,mae,rmse,smape,avg_fit_time_seconds,avg_inference_time_seconds,avg_series_total_time_seconds,avg_peak_memory_mb
m1_monthly,finance,monthly,prophet,traditional,long,18,tuned,617,26341.285169725743,32970.22528242665,87.44815152715522,1.0866786517818697e-05,0.21787945648453025,0.21789480724056492,6.964443206787109
m1_monthly,finance,monthly,lstm,traditional,long,18,tuned,617,9030.434476083772,9349.726483798186,138.26635649176797,9.896109904037303e-07,1.0523906851510367,1.0523957730885263,1.6167402267456057
m1_monthly,finance,monthly,timesfm,foundation,short,9,tuned,617,1305.9606560690518,1602.496925481034,11.438034879872731,1.568886990292146e-05,0.4425281481379628,0.44255002159353596,1.113905906677246
m1_monthly,finance,monthly,seasonal_naive,traditional,short,9,tuned,617,2015.399083378354,2352.8873355324604,15.603230562634714,3.1763382823579315e-07,2.012492385443815e-05,2.188659371201369e-05,0.7781791687011719
m1_monthly,finance,monthly,arima,traditional,short,9,tuned,617,1938.1752821045657,2253.9735798101106,15.63703803760907,8.875972061528186e-07,0.15074323448601568,0.1507478270383862,3.4514875411987305
m1_monthly,finance,monthly,naive,traditional,short,9,tuned,617,2127.174885647398,2540.6198029354114,17.09381582143664,6.364269040197985e-07,7.383247635159703e-06,9.366720190310965e-06,0.7582435607910156
m1_monthly,finance,monthly,uni2ts,foundation,short,9,tuned,617,2795.735963507262,3246.0455529086926,20.813430611384888,1.8242692251839166e-06,1.1075490927580303,1.1075570239433399,5.593112945556641
m1_monthly,finance,monthly,ttm,foundation,short,9,tuned,495,2136.5090914405805,2339.650973149586,22.642957628349464,2.8292338053384757e-06,0.8732734516413525,0.8732832874914612,95.1822109222412
m1_monthly,finance,monthly,prophet,traditional,short,9,tuned,617,8889.335660228473,10858.824762270895,60.69309481299666,2.0073916962312784e-05,0.20477136723226236,0.2047953910920376,6.909360885620117
m1_monthly,finance,monthly,lstm,traditional,short,9,tuned,617,10417.002072075175,10662.587797638134,163.92115174426135,1.2318937279996454e-06,1.5931265790806404,1.5931321786327146,1.5067081451416016
nn5_daily,retail,daily,timesfm,foundation,long,56,tuned,111,3.4069649346927875,4.992091786167081,19.881093952766147,2.3027798077007673e-05,0.2910944577809927,0.2911215966886228,0.2341537475585937
nn5_daily,retail,daily,prophet,traditional,long,56,tuned,111,3.7270548240894836,5.220627962082419,21.946105415040304,2.0521181123750705e-05,0.21596404238864106,0.21598783054867304,25.48559856414795
nn5_daily,retail,daily,seasonal_naive,traditional,long,56,tuned,111,4.3517605671470045,6.1925119321068145,26.470463020668515,7.324390583210164e-07,5.168957753224357e-05,5.407805915351316e-05,0.1635189056396484
nn5_daily,retail,daily,uni2ts,foundation,long,56,tuned,111,5.54705497522313,7.324324259785436,30.61190684930859,1.6732258839650197e-06,1.0266542670963046,1.026659396317628,2.254571914672852
nn5_daily,retail,daily,arima,traditional,long,56,tuned,111,6.583474574327563,8.16829107424754,35.283977487443,1.5293155704532658e-06,0.23461127710771987,0.23461588438566738,11.924904823303224
nn5_daily,retail,daily,ttm,foundation,long,56,tuned,111,6.629640565906869,8.248470733817019,35.4549661132107,1.6624863083298141e-06,0.05188627930374828,0.05189199705381646,0.6289072036743164
nn5_daily,retail,daily,lstm,traditional,long,56,tuned,111,6.734955417649644,8.417917043632137,35.89749337833104,1.718332101632883e-06,17.025534591159307,17.02554019077404,0.6822366714477539
nn5_daily,retail,daily,naive,traditional,long,56,tuned,111,8.262752471468145,10.72236778086965,48.26867613645613,6.336349624771255e-07,1.296266779169306e-05,1.5329670261692355e-05,0.1539573669433593
nn5_daily,retail,daily,timesfm,foundation,short,28,tuned,111,3.3387345445747423,5.16358264091192,20.055804898227898,2.3620622652071017e-05,0.2901611650312269,0.2901887979593363,0.2394561767578125
nn5_daily,retail,daily,prophet,traditional,short,28,tuned,111,3.7700727257860747,5.447442138110408,22.19571860207304,2.4093163980020058e-05,0.21158842353133464,0.21161569131387242,25.99109268188477
nn5_daily,retail,daily,ttm,foundation,short,28,tuned,111,4.329755828347607,5.8749915708101845,24.9767989694167,2.0254839647997607e-06,0.050410384530419655,0.050416585561391426,0.6051177978515625
nn5_daily,retail,daily,seasonal_naive,traditional,short,28,tuned,111,4.543712226371527,6.321441859130952,28.009568167396434,7.496223793373451e-07,4.91507418520807e-05,5.134805902704271e-05,0.1629486083984375
nn5_daily,retail,daily,uni2ts,foundation,short,28,tuned,111,4.99588820827527,6.700201092774299,28.296155029998317,1.9954131530211853e-06,1.0346705526918978,1.0346764659022425,2.159684181213379
nn5_daily,retail,daily,arima,traditional,short,28,tuned,111,6.9455699327008,8.456435415102654,37.717094291848106,1.4713218620231559e-06,0.22810119766372816,0.2281057383563067,12.322172164916992
nn5_daily,retail,daily,lstm,traditional,short,28,tuned,111,7.025618274990163,8.708796447182264,37.750666839407124,2.1672463631844735e-06,18.252189520243054,18.25219574060526,0.6281337738037109
nn5_daily,retail,daily,naive,traditional,short,28,tuned,111,7.766586910829267,10.241144906735581,44.2264103341198,6.594099440016188e-07,9.723611780115076e-06,1.1860787331520973e-05,53.19035816192627
nn5_weekly,retail,weekly,timesfm,foundation,long,8,tuned,111,13.914180989421544,17.346942003316133,10.684763020807424,1.1306625228744369e-05,0.21249610239321043,0.21251330074963265,0.2397089004516601
nn5_weekly,retail,weekly,prophet,traditional,long,8,tuned,111,15.642295424010154,19.676103034180866,12.037232033258569,1.377887553996868e-05,0.2036588836360622,0.20367888502172518,4.648043632507324
nn5_weekly,retail,weekly,arima,traditional,long,8,tuned,111,15.68414129149076,18.903194230113197,12.22636957587089,1.6904092049813485e-06,0.1782613810118254,0.1782686023024825,3.547469139099121
nn5_weekly,retail,weekly,naive,traditional,long,8,tuned,111,16.70855312976237,20.207278555740146,13.267857610240783,7.66805700353674e-07,1.1356027276666316e-05,1.4700331129469313e-05,0.1463232040405273
nn5_weekly,retail,weekly,uni2ts,foundation,long,8,tuned,111,19.777763469117343,23.794803240490182,15.57860060736908,2.0040048135293496e-06,1.234383265177409,1.2343915947922715,1.8983612060546875
